Tree_Label,Phylum,SS,A,G,O,T,V,C,F,K,M,S
Co_P_Alexi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Anobi,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Co_P_Anthi,Arthropoda ,1,0,1,0,0,0,0,1,0,0,0
Co_P_Anthr,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
Co_P_Artem,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Attel,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Belid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Biphy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Borid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Bostr,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Co_P_Bothr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Brach,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Brent,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
Co_P_Bupre,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Co_P_Byrrh,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Bytur,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Calli,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Canth,Arthropoda ,1,0,1,0,1,0,0,1,0,1,0
Co_P_Cepha,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Ceram,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
Co_P_Cerat,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Ceryl,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Chelo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Chrys,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
Co_P_Ciida,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Co_P_Clamb,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Cleri,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Co_P_Cocci,Arthropoda ,1,0,0,0,1,1,0,1,0,0,0
Co_P_Coryl,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Crypt,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Cucuj,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Curcu,Arthropoda ,1,0,0,1,1,0,1,1,0,1,0
