Tree_Label,Phylum,SS,A,G,O,T,V,C,F,K,M,S
Di_Xylomyi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Di_Xylopha,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Dipl_Campo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Dipl_Japyg,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Dipl_Para,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Dipl_Proj,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
DQ492475Pimelodus_ornatus,Chordata ,0,0,0,0,0,0,0,0,0,0,0
DQ912118Clupea_pallasii,Chordata ,0,0,0,0,0,0,0,0,0,0,0
Dugesiajap,Platyhelminthes ,0,0,0,0,0,0,0,0,0,0,0
Echinodere,Kinorhyncha,0,0,0,0,0,0,0,0,0,0,0
EF033043Neobythites_stigmosus,Chordata ,0,0,0,0,0,0,0,0,0,0,0
EF095636_Beryx_splendens,Chordata ,0,0,0,0,0,0,0,0,0,0,0
EF095676_Scomberomorus_commerso,Chordata ,0,0,0,0,0,0,0,0,0,0,0
Emb_Anisem,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Emb_Austra,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Emb_Clotho,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Emb_Embiid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Emb_Notoli,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Emb_Oligot,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Emb_Terate,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Entalina,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Entemnotr,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Ep_Acantha,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Ameleti,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Ameleto,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Ametrop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Baetida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Baetisc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Behning,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Caenida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Colobur,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Diptero,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Ephemerel,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Ephemeri,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Euthypl,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Heptage,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Ichthyb,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Isonych,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Leptohy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Leptoph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Metreto,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Neoephe,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Nesamel,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Oligone,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Oniscig,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Palinge,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Polymit,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Potaman,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Prosopi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Rallide,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Siphlae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Siphlon,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Telogan,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ep_Tricory,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Epimeniaa,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Epimeniab,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Epimenias,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Euperipato,Onychophora,0,0,0,0,0,0,0,0,0,0,0
Fenneropen,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Flaccisagi,Chaetognatha ,0,0,0,0,0,0,0,0,0,0,0
Fustiaria,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Gastrocha,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Gavia_immer,Chordata ,1,1,0,0,0,0,1,0,0,0,0
Gekko_gecko,Chordata ,0,0,0,0,0,0,0,0,0,0,0
Gnathostom,Gnathostomulida ,0,0,0,0,0,0,0,0,0,0,0
Grylloblat,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Habronattus,Arthropoda ,1,0,0,0,0,1,0,1,0,0,0
Haliotis,Mollusca,0,0,0,0,0,0,0,0,0,0,0
He_Acantho,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Achilid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Achilix,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Aetalio,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Aleyrod,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
He_Alydida,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
He_Anthoco,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Apheloc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Aphidoi,Arthropoda ,1,0,0,0,1,0,1,0,1,0,0
He_Aphroph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Aradida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Belosto,Arthropoda ,1,0,0,0,0,1,0,1,0,1,0
He_Berytid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Calisce,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Canopid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Cercopi,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
He_Cicadel,Arthropoda ,1,0,0,0,1,0,0,1,0,1,0
He_Cicadid,Arthropoda ,1,1,0,0,0,0,0,1,0,1,0
He_Cimicid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Cixiida,Arthropoda ,1,0,0,0,1,0,0,1,0,1,0
He_Clastop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Coccoid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Colobat,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Coreida,Arthropoda ,1,0,0,1,1,1,1,1,0,0,0
He_Corixid,Arthropoda ,1,0,0,0,0,1,0,1,0,0,0
He_Cydnida,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
He_Delphac,Arthropoda ,1,1,0,0,1,0,0,1,0,1,0
He_Derbida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Dictyop,Arthropoda ,1,1,0,0,1,0,0,1,0,1,0
He_Dinidor,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Dipsoco,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Enicoce,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Epipygi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Eurybra,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Flatida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Fulgori,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Gelasto,Arthropoda ,0,1,0,0,1,0,0,1,0,0,0
He_Gerrida,Arthropoda ,1,0,0,0,1,0,1,0,0,0,1
He_Hebrida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Hermato,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Hydrome,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Hyoceph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Idiosto,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Issidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Joppeic,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Largida,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
He_Leptopo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Lestoni,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Lophopi,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
He_Lycetoc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Lygaeio,Arthropoda ,1,0,1,0,1,1,0,1,0,0,0
He_Machaer,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Macrove,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Malcida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Meenopl,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Membrac,Arthropoda ,1,1,0,0,0,0,0,1,0,1,0
He_Mesovel,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Microph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Miridae,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
He_Myerslo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Nabidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Naucori,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Nepidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Nogodin,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Notonec,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Ochteri,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Paraphy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Pelorid,Arthropoda ,1,1,0,0,0,0,0,1,0,1,0
He_Pentato,Arthropoda ,1,0,0,1,1,0,1,1,0,0,0
He_Phloeid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Phyllox,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Phymati,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
He_Piesmat,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Platasp,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
He_Pleidae,Arthropoda ,1,1,0,0,0,0,0,1,0,0,0
He_Plokiop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Psylloi,Arthropoda ,1,1,0,0,0,0,0,1,0,1,0
He_Pyrrhoc,Arthropoda ,1,0,0,0,1,1,0,1,0,0,1
He_Reduvii,Arthropoda ,1,0,0,1,1,0,1,0,0,1,0
He_Rhopali,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
He_Ricanni,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Saldida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Schizop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Scutell,Arthropoda ,1,1,0,1,0,1,0,1,0,1,0
He_Stenoce,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Termita,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Tessara,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Tettigo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Thaumas,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Tingida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Tropidu,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
He_Veliida,Arthropoda ,1,0,1,0,0,0,0,0,0,0,1
He_Velocip,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
hebestatis,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Heligmonellidae,Nematoda,0,0,0,0,0,0,0,0,0,0,0
Homo_sapiens,Chordata ,1,0,0,0,0,1,1,1,0,0,0
Hy_Agaonid,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Hy_Ampulic,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Anaxeli,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Andreni,Arthropoda ,1,0,0,1,0,0,1,1,0,1,0
Hy_Aphelin,Arthropoda ,1,0,0,0,1,1,0,1,0,1,0
Hy_Apidae,Arthropoda ,1,0,0,1,1,0,1,1,0,1,0
Hy_Argidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Aulacid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Bethyli,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Hy_Blastic,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Braconi,Arthropoda ,1,1,0,0,0,0,0,1,0,0,0
Hy_Bradyno,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Cephida,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Hy_Ceraphr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Chalcid,Arthropoda ,1,0,0,1,0,1,0,1,0,1,0
Hy_Chrysid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Cimbici,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Colleti,Arthropoda ,1,0,0,1,1,0,1,0,0,1,0
Hy_Crabron,Arthropoda ,1,0,0,1,0,0,0,1,0,0,0
Hy_Cynipid,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Hy_Diaprii,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Diprion,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Hy_Encyrti,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Hy_Euchari,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Eulophi,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Hy_Eupelmi,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Hy_Eurytom,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Hy_Evaniid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Figitid,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Hy_Formici,Arthropoda ,1,0,0,0,1,1,1,1,0,0,0
Hy_Gasteru,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Halicti,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Hy_Helorid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Ibaliid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Ichneum,Arthropoda ,1,0,0,0,1,0,0,1,0,1,1
Hy_Liopter,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Maaming,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Megachi,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Hy_Megalod,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Megalyr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Megaspi,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
Hy_Melitti,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Hy_Monomac,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Mutilid,Arthropoda ,1,0,0,0,1,0,0,1,0,0,0
Hy_Mymarid,Arthropoda ,1,0,0,0,0,1,0,1,0,0,0
Hy_Mymaron,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Orussid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Pamphil,Arthropoda ,1,0,0,1,1,0,1,1,0,1,0
Hy_Pelecin,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Pergida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Perilam,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
Hy_Platyga,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Hy_Plumari,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Pompili,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Hy_Proctot,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Pteroma,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
Hy_Roprion,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Rotoiti,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Sapygid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Scelion,Arthropoda ,1,0,0,0,1,0,1,0,1,0,0
Hy_Scoleby,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Scoliid,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Hy_Sierolo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Siricid,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
Hy_Sphecid,Arthropoda ,1,0,0,0,1,1,1,1,0,0,0
Hy_Stenotr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Stephan,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Tenthre,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Hy_Tetraca,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Tiphiid,Arthropoda ,1,0,1,1,1,0,0,1,0,1,0
Hy_Torymid,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Hy_Trichog,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Hy_Trigona,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Vanhorn,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Vespida,Arthropoda ,1,0,0,0,1,1,1,1,0,0,0
Hy_Xiphydr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hy_Xyelida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hydrozoa,Cnidaria,0,0,0,0,0,0,0,0,0,0,0
hypochilus,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Hypsibiusd,Tardigrada ,0,0,0,0,0,0,0,0,0,0,0
Idiopidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Is_Hodoter,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Is_Kaloter,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Is_Mastote,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Is_Rhinote,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Is_Serrite,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Is_Termiti,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Is_Termops,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
kuku,Arthropoda ,1,0,0,0,1,1,0,1,0,0,0
L_Acanthop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Acroloph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Adelidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Agathiph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Agonoxen,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Aididae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Alucitid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Amphisba,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Andesian,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Anomoeti,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Anthelid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Apatelod,Arthropoda ,1,1,0,0,0,0,0,1,0,0,0
L_Arctiida,Arthropoda ,1,0,1,1,0,0,0,1,0,0,0
L_Argyrest,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Arrhenop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Autostic,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Batrache,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Bedellid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Blastoba,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Bombycid,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Brachodi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Brahmaei,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Bucculat,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Callidul,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Carposin,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Carthaei,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Castniid,Arthropoda ,1,0,0,1,0,1,1,1,0,1,0
L_Choreuti,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Cimeliid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Coleopho,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Copromor,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Cosmopte,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Cossidae,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Crambida,Arthropoda ,1,1,0,1,0,0,0,1,0,1,0
L_Crinopte,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Cyclotor,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Dalcerid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Deocloni,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Deuterog,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Douglasi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Drepanid,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Dudgeoni,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Elachist,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Endromid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Epicopei,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Epipyrop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Ericotti,Arthropoda ,1,1,0,0,0,0,0,1,0,0,0
L_Eriocran,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Eupterot,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Gelechid,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Geometri,Arthropoda ,1,0,0,1,1,0,0,1,0,1,0
L_Glyphido,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Glyphipt,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Gracilla,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Hedylida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Heliozel,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Hepialid,Arthropoda ,1,0,0,1,0,1,0,1,0,1,0
L_Hesperii,Arthropoda ,0,0,0,1,0,0,0,1,0,0,0
L_Heteroba,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Heterogy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Himantop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Hyblaeid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Immidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Incurvar,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Lacturid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Lasiocam,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Lecithoc,Arthropoda ,1,0,0,1,1,0,0,1,0,1,1
L_Lemoniid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Limacodi,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Lycaenid,Arthropoda ,1,0,0,1,0,1,0,1,0,1,0
L_Lymantri,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Lyoneti,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Megalopy,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Micropte,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Mimallon,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Mirinida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Mnesacha,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Momphida,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Neopseus,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Nepticul,Arthropoda ,1,0,0,1,1,0,1,1,0,1,0
L_Noctuida,Arthropoda ,1,0,0,1,1,0,1,1,0,1,0
L_Notodont,Arthropoda ,1,0,0,1,1,0,1,1,0,1,0
L_Nymphali,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
L_Oecophor,Arthropoda ,1,0,0,1,1,0,0,1,0,1,1
L_Opostegi,Arthropoda ,1,0,0,1,0,0,0,1,0,0,0
L_Palaepha,Arthropoda ,1,0,0,1,0,0,0,1,0,0,0
L_Papilion,Arthropoda ,1,0,0,0,0,1,1,0,0,0,0
L_Peleopod,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Pieridae,Arthropoda ,1,0,0,0,0,1,0,1,0,0,0
L_Plutelli,Arthropoda ,1,0,0,1,0,1,0,1,0,1,0
L_Prodoxid,Arthropoda ,1,0,0,1,0,1,0,1,0,1,0
L_Protothe,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Psychida,Arthropoda ,1,0,0,1,0,1,0,1,0,1,0
L_Pterolon,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Pteropho,Arthropoda ,1,0,0,1,0,1,0,1,0,1,0
L_Pyralida,Arthropoda ,1,1,0,0,0,0,0,1,0,0,1
L_Riodinid,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
L_Roeslers,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Saturnii,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Sematuri,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Sesiidae,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Somabrac,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Sphingid,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Thyridid,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Tineidae,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Tineodid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
L_Tischeri,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Tortrici,Arthropoda ,1,0,0,1,0,0,0,1,0,1,0
L_Uraniida,Arthropoda ,1,1,0,1,0,0,0,1,0,1,0
L_Urodidae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
